diseaseid,disease_name,disease_type,drug_id,drug_name,drug_type,approval_status
C0002395,alzheimer's disease,disease,CHEMBL637,venlafaxine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL129,zidovudine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL638,voriconazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL639,azelastine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL130,chloramphenicol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL640,procainamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL641,atomoxetine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL642,acebutolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL643,promethazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL131,prednisolone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL644,trimipramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL645,bisoprolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL646,triazolam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL647,apraclonidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL648,cyclizine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL434394,nebivolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL650,methylprednisolone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL651,methadone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL652,flecainide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL134,clonidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL654,mirtazapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL655,midazolam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL22242,remoxipride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL656,oxycodone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL135,estradiol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL657,diphenhydramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL658,sufentanil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL659,galantamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL660,amantadine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL661,alprazolam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL21731,maprotiline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL666,foscarnet,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL667,acetylcholine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL137,metronidazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL668,protriptyline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL669,cyclobenzaprine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL671,thiotepa,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL672,fenofibrate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL673,pargyline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL675,alendronate sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL677,levonordefrin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL679,epinephrine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL680,cefaclor anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL681,etomidate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL682,amodiaquine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL684,diethylcarbamazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL685,mebendazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL139,diclofenac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL686,mefenamic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL688,fentanyl citrate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL689,mannitol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL690,pravastatin sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL24072,prenylamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL691,ethinyl estradiol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL284348,dalfampridine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL692,glycerin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL695,trimethadione,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL696,ethosuximide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL697,methsuximide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL698,tetracaine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL700,sulfapyridine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL701,baclofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL702,piperacillin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL703,suxamethonium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL704,mesalamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL705,alitretinoin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL706,cetyl alcohol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL24778,silodosin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL282468,choline chloride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL707,doxazosin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL24828,vandetanib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL278819,minaprine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL25202,tamibarotene,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL708,ziprasidone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL709,alfuzosin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL710,finasteride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL711,phenindione,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL712,anisindione,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL713,entecavir anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL141,lamivudine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL714,albuterol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL715,olanzapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL716,quetiapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL717,medroxyprogesterone acetate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL719,mupirocin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL720,benzyl alcohol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL28318,propyphenazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL723,carvedilol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL726,fluphenazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL727,thioguanine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL27193,dilevalol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL728,prochlorperazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL729,lopinavir,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL730,nitroglycerin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL734,acetohydroxamic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL738,thiopental sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL30219,methohexital sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL741,lamotrigine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL742,ketamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL744,riluzole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL746,nedocromil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL748,pralidoxime chloride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL750,zonisamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL752,adenosine phosphate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL753,phenoxybenzamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL754,foscarnet sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL760,anagrelide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL761,naphazoline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL762,oxymetazoline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL765,guanethidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL766,cilastatin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL768,esmolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL770,tolazoline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL771,cycloserine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL148,imipenem anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL772,reserpine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL773,glycine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL776,metaproterenol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL777,clavulanic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL778,dexmedetomidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL779,tadalafil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL33986,butorphanol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL780,pentetic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL781,mazindol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL290106,bithionol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL782,tolbutamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL783,nateglinide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL32479,brotizolam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL786,tamoxifen citrate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL787,montelukast,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL788,idoxuridine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL36506,novobiocin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL152,cidofovir anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL790,chlorhexidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL32800,fenoterol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL796,methylphenidate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL285674,estazolam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL797,phensuximide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL34259,methotrexate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL284092,gepirone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL799,cilostazol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL802,minoxidil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL154,naproxen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL416956,mefloquine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL803,cytarabine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL806,flutamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL807,memantine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL808,econazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL809,sertraline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL810,temozolomide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL811,brompheniramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL37744,zimeldine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL812,pyridostigmine bromide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL813,eprosartan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL289469,granisetron,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL814,fluvoxamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL441738,afamelanotide,Protein,Investigational
C0002395,alzheimer's disease,disease,CHEMBL815,dinoprost,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL39736,buformin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL38827,lumefantrine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL817,tolazamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL818,iobenguane,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL819,oxacillin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL290960,nifurtimox,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL820,busulfan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL821,guanidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL822,terbinafine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL826,enoxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL827,dexmethylphenidate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL829,methylpromazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL43128,primaquine phosphate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL830,eflornithine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL831,loxapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL832,sulfinpyrazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL288470,aminopyrine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL2,prazosin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL3,nicotine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL4,ofloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL5,nalidixic acid,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6,indomethacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL403,sulbactam,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL404,tazobactam,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL8,ciprofloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL9,norfloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL405,amphetamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6622,isosorbide dinitrate,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6437,mianserin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL11,imipramine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL406,indapamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL407,flumazenil,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL408,troglitazone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL409,bicalutamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL12,diazepam,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL13,metoprolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL411,diethylstilbestrol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL267936,mecamylamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL14,carbachol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL16,phenytoin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL413,sirolimus,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL269732,tacrolimus anhydrous,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL415,clomipramine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL416,methoxsalen,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL17,dichlorphenamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL18,ethoxzolamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL417,epirubicin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL19,methazolamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL20,acetazolamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL419,mafenide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL21,sulfanilamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL420,guanabenz,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL22,trimethoprim,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6966,verapamil,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL421,sulfasalazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6466,coumarin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL23,diltiazem,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL24,atenolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL25,aspirin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL422,trifluoperazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL423,betaxolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL425,olsalazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL27,propranolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL6995,practolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL427,mechlorethamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL29,penicillin g,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL428,trovafloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL30,cimetidine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL31,gatifloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL429,labetalol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL32,moxifloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL33,levofloxacin anhydrous,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL430,gemifloxacin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL431,spirapril,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL433,valproate sodium,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL434,isoproterenol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL435,hydrochlorothiazide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL35,furosemide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL36,pyrimethamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL436,tolrestat,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL437,sulfathiazole,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL438,sulfamerazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL439,sulfadiazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL440,thiamylal,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL441,thiopental,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL268164,cyclobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL442,ergotamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL38,tretinoin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL7413,methohexital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL40,phenobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL41,fluoxetine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL443,sulfamethoxazole,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL42,clozapine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL445,nortriptyline,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL446,sulfamethazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL447,secobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL448,pentobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL7568,quinacrine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL267894,amobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL7728,hexobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL449,butabarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL7863,aprobarbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL450,metharbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL451,chlordiazepoxide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL266349,melagatran,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL452,clonazepam,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL453,sulfisoxazole,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL268869,sulfamethoxypyridazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL454,butalbital,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL455,sulfacetamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL43,amsacrine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL456,ethacrynic acid,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL267744,ticrynafen,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL457,gemfibrozil,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL45,melatonin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL46,ondansetron,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL49,buspirone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL459,methyldopa,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL460,molindone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL53,apomorphine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL54,haloperidol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL55,pentamidine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL463,aminohippuric acid,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL464,etretinate,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL57,nevirapine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL465,dronabinol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL58,mitoxantrone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL59,dopamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL467,hydroxyurea,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL61,podofilox,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL64,isoniazid,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL468,thalidomide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL469,ketorolac,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL471,sotalol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL472,glyburide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL9225,hexestrol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL473,dofetilide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL476,dacarbazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL477,adenosine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL479,thioridazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL480,lansoprazole,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL481,irinotecan,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL70,morphine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL485,codeine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL71,chlorpromazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL72,desipramine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL488,aminoglutethimide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL74,cromolyn sodium,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL76,chloroquine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL490,paroxetine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL416146,etoricoxib,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL79,lidocaine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL492,etidocaine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL80,naloxone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL81,raloxifene,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL83,tamoxifen,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL493,bromocriptine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL494,iloprost,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL84,topotecan,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL85,risperidone,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL428880,cromolyn,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL86,metoclopramide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL428647,paclitaxel,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL495,alprostadil,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL496,hexachlorophene,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL497,clioquinol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL10878,agomelatine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL88,cyclophosphamide anhydrous,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL498,chlorpropamide,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL499,timolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL500,pindolol,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL11359,cisplatin,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL276832,hydralazine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL501,amphetamine sulfate,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL267345,amphotericin b,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL90,histamine,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL91,miconazole,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL92,docetaxel anhydrous,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL93,zileuton,Small molecule,Investigational
C0006142,breast cancer,disease,CHEMBL95,tacrine,Small molecule,Investigational
